Milestones;;;;;;Phases;;;;;;Tasks;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
N;M.Name;M.StartDate;M.EndDate;Previous.M;Next.M;N;P.Name;P.StartDate;P.EndDate;P.Previous;P.Requirements;T.Name;ID;T.Start;T.End;T.Duration;T.Men;T.Previous;T.Team;4DObject;T.Level;ObjectsCount;T.Zone;T.describtion;T.State;Constraint;Information;Materials;Man Power;Equipement;Safety;Space;TeamName;TeamColor;T.Boss;T.BossMail;T.BossPhone;;Holidays;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Fin de preparation;lundi 07 septembre 2020;vendredi 30 octobre 2020;N/A;Travaux TCE;1;Periode de preparation;lundi 07 septembre 2020;vendredi 18 septembre 2020;;Permis delivres;Preparation chantier;101;lundi 07 septembre 2020;vendredi 18 septembre 2020;10;8;;EqE;513412;RDC;;;Task describtion here;Not Ready;Yes;Yes;Yes;Yes;Yes;Yes;Yes;EqA;Redish;Leonardo Vinci;LeoVinci@vinci.fr;00 33 11 22 33 44 55;Leon Battista Alberti,Mariotto Albertinelli,Alessandro Fei,Alessandro Allori, Bartolomeo Ammannati,Andrea del Sarto;mercredi 11 novembre 2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;2;Prototypage;lundi 21 septembre 2020;vendredi 30 octobre 2020;1;Le site pret;Prototype File 18;102;lundi 21 septembre 2020;vendredi 16 octobre 2020;20;4;101;EqE;;;;;Task describtion here;Not Ready;Yes;Yes;Yes;Yes;Yes;No;No;EqB;Dark;Michel Buonarroti;Buonarroti@Buonarroti.it;00 33 11 22 33 44 55;Lorenzo Bartolini,Benedetto da Maiano,Benedetto da Rovezzano,Giuseppe Bezzuoli,Bicci di Lorenzo,Giuliano Bugiardini,Bernardo Buontalenti;lundi 21 decembre 2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;Conclusion Adaptation;103;vendredi 16 octobre 2020;vendredi 30 octobre 2020;11;2;102;EqE;;;;;Task describtion here;Not Ready;No;No;No;No;No;No;No;EqC;Blueish;Raphael Santi;santi@santiconstr.ch;00 33 11 22 33 44 55;Valerio Cigoli,Cimabue,Bernardo Ciuffagni,Andrea del Castagno,Benvenuto Cellini;mardi 22 decembre 2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;Travaux TCE;lundi 21 septembre 2020;vendredi 04 juin 2021;Periode de preparation;N/A;1;Reconstruction suite au sinistre;lundi 21 septembre 2020;mercredi 20 janvier 2021;1;Requirements Exemple Text;Demolitions-Travaux preparatoires-Stabilite provisoire;104;lundi 21 septembre 2020;vendredi 25 septembre 2020;5;4;101;EqA;;;;A;Task describtion here;Not Ready;No;No;No;No;No;No;No;EqD;Orange;Donatello Bardi;Dbardi@niccoloconstr.eu;00 33 11 22 33 44 55;Perino del Vaga,Andrea della Robbia,Giovanni della Robbia,Luca della Robbia,Desiderio da Settignano,Domenico Veneziano,Bernardo Daddi,Cesare Dandini;mercredi 23 decembre 2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;Fabrication et approvisionnement des panneaux et poteaux et poutres;105;lundi 21 septembre 2020;vendredi 11 decembre 2020;59;4;101;EqB;;;;A;Task describtion here;Not Ready;No;No;No;No;No;No;No;EqE;Yellowish;Sandro Botticelli;Sbotticelli@renaissanceconstr.eu;00 33 11 22 33 44 55;Giovanni Antonio Sogliani, Spinello Aretino, Gherardo Starnina,Giovanni Stradano;jeudi 24 decembre 2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;Travaux preparatoires de Sous-Sol au RdC;106;vendredi 25 septembre 2020;vendredi 02 octobre 2020;6;4;104;EqA;383282,492767,492980,493007,496050,496270,496856;;;A;Task describtion here;Not Ready;No;No;No;No;No;No;No;;;;;;;vendredi 25 decembre 2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;Depose du bardage;107;lundi 28 septembre 2020;vendredi 02 octobre 2020;5;4;106;EqA;400652,417745,424100,424610,424641,424680,424690,424729,424743,424763,424773,485000,500897,501332,501372,501373,501413,501535,501753,501808,501821,586358,586359,586370,586371,586384,586385;;;A;Task describtion here;Not Ready;No;No;No;No;No;No;No;;;;;;;samedi 26 decembre 2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;Remplacement du linteau;108;lundi 28 septembre 2020;vendredi 02 octobre 2020;5;4;107;EqA;400652,417745,424100,424610,424641,424680,424690,424729,424743,424763,424773,485000,500897,501332,501372,501373,501413,501535,501753,501808,501821,586358,586359,586370,586371,586384,586385;;;A;Task describtion here;Not Ready;No;No;No;No;No;No;No;;;;;;;dimanche 27 decembre 2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;Pose File 1;109;vendredi 11 decembre 2020;jeudi 14 janvier 2021;15;4;105;EqA;400652,417745,424100,424610,424641,424680,424690,424729,424743,424763,424773,485000,500897,501332,501372,501373,501413,501535,501753,501808,501821,586358,586359,586370,586371,586384,586385;;;A;Task describtion here;Not Ready;No;No;No;No;No;No;No;;;;;;;lundi 28 decembre 2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;Pose escalier entre RdC et Etage;110;mercredi 20 janvier 2021;mardi 02 fevrier 2021;10;5;111;EqA;490853,491088;;;A;Task describtion here;Not Ready;No;No;No;No;No;No;No;;;;;;;mardi 29 decembre 2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;Pose File 0;111;jeudi 17 decembre 2020;mercredi 20 janvier 2021;15;5;105;EqA;382166,400654,415121,415490,415688,417609,417747,504509,504630;;;A;Task describtion here;Not Ready;No;No;No;No;No;No;No;;;;;;;mercredi 30 decembre 2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
