Milestones;;;;;;Phases;;;;;;Tasks;;;;;;;;;;;;;;;;;;;;;;;;;;;
N;M.Name;M.StartDate;M.EndDate;Previous.M;Next.M;N;P.Name;P.StartDate;P.EndDate;P.Previous;P.Requirements;T.Name;ID;T.Start;T.End;T.Duration;T.Men;T.Previous;T.Team;4DObject;T.Level;ObjectsCount;T.Zone;T.describtion;T.State;Constraint;Information;Materials;Man Power;Equipement;Safety;Space;TeamName;TeamColor;T.Boss;T.BossMail;T.BossPhone;;Holidays
1;Fin de préparation;lundi 07 septembre 2020;vendredi 30 octobre 2020;N/A;Travaux TCE;1;Période de préparation;lundi 07 septembre 2020;vendredi 18 septembre 2020;;Permis delivrés;Préparation chantier;101;lundi 07 septembre 2020;vendredi 18 septembre 2020;10;8;;EqE;;Etage Jaune;;;Task describtion here;Done;Yes;Yes;Yes;Yes;Yes;Yes;Yes;EqA;Yellowish;Leonardo Vinci;LeoVinci@vinci.fr;00 33 11 22 33 44 55;Leon Battista Alberti,Mariotto Albertinelli,Alessandro Fei,Alessandro Allori, Bartolomeo Ammannati,Andrea del Sarto;mercredi 11 novembre 2020
;;;;;;2;Prototypage;lundi 21 septembre 2020;vendredi 30 octobre 2020;1;Le site pret;Prototype File 18;102;lundi 21 septembre 2020;vendredi 16 octobre 2020;20;4;101;EqE;;Etage Bleu;;;Task describtion here;Go;Yes;Yes;Yes;Yes;Yes;Yes;Yes;EqB;Redish;Michel Buonarroti;Buonarroti@Buonarroti.it;00 33 11 22 33 44 55;Lorenzo Bartolini,Benedetto da Maiano,Benedetto da Rovezzano,Giuseppe Bezzuoli,Bicci di Lorenzo,Giuliano Bugiardini,Bernardo Buontalenti;lundi 21 décembre 2020
;;;;;;;;;;;;Conclusion Adaptation;103;vendredi 16 octobre 2020;vendredi 30 octobre 2020;11;2;102;EqE;;Etage Bleu;;;Task describtion here;Go;Yes;Yes;Yes;Yes;Yes;Yes;Yes;EqC;Blueish;Raphael Santi;santi@santiconstr.ch;00 33 11 22 33 44 55;Valerio Cigoli,Cimabue,Bernardo Ciuffagni,Andrea del Castagno,Benvenuto Cellini;mardi 22 décembre 2020
2;Travaux TCE;lundi 21 septembre 2020;vendredi 04 juin 2021;Période de préparation;N/A;3;Reconstruction suite au sinistre;lundi 21 septembre 2020;mercredi 20 janvier 2021;1;Requirements Exemple Text;Démolitions-Travaux préparatoires-Stabilité provisoire;104;lundi 21 septembre 2020;vendredi 25 septembre 2020;5;4;101;EqA;428994;Etage Bleu;;A, B, C, D;Task describtion here;Pause;Yes;Yes;Yes;Yes;Yes;Yes;Yes;EqD;Orange;Donatello Bardi;Dbardi@niccoloconstr.eu;00 33 11 22 33 44 55;Perino del Vaga,Andrea della Robbia,Giovanni della Robbia,Luca della Robbia,Desiderio da Settignano,Domenico Veneziano,Bernardo Daddi,Cesare Dandini;mercredi 23 décembre 2020
;;;;;;;;;;;;Fabrication et approvisionnement des panneaux/poteaux/poutres;105;lundi 21 septembre 2020;vendredi 11 décembre 2020;59;4;101;EqB;;Etage Bleu;;A, B, C, D;Task describtion here;Not Ready;No;No;No;No;No;No;No;EqE;Dark;Sandro Botticelli;Sbotticelli@renaissanceconstr.eu;00 33 11 22 33 44 55;Giovanni Antonio Sogliani, Spinello Aretino, Gherardo Starnina,Giovanni Stradano;jeudi 24 décembre 2020
;;;;;;;;;;;;Travaux préparatoires de S/Sol au RdC;106;vendredi 25 septembre 2020;vendredi 02 octobre 2020;6;4;104;EqC;493007,496050,496856;Etage Bleu;;A, B, C, D;Task describtion here;Not Ready;No;No;No;No;No;No;No;;;;;;;vendredi 25 décembre 2020
;;;;;;;;;;;;Dépose du bardage;107;lundi 28 septembre 2020;vendredi 02 octobre 2020;5;4;106;EqC;;Etage Bleu;;A, B, C, D;Task describtion here;Not Ready;No;No;No;No;No;No;No;;;;;;;samedi 26 décembre 2020
;;;;;;;;;;;;Remplacement du linteau;108;lundi 28 septembre 2020;vendredi 02 octobre 2020;5;4;107;EqA;400652,417607,417745;Etage Bleu;;A, B, C, D;Task describtion here;Not Ready;No;No;No;No;No;No;No;;;;;;;dimanche 27 décembre 2020
;;;;;;;;;;;;Pose File 1;109;vendredi 11 décembre 2020;jeudi 14 janvier 2021;15;4;105;EqA;493007,496050,496856,500897,501332,501372,501373,501413,501473,501498,501525,501535,501753,501808,501821;Etage Bleu;;A, B, C, D;Task describtion here;Not Ready;No;No;No;No;No;No;No;;;;;;;lundi 28 décembre 2020
;;;;;;;;;;;;Pose escalier entre RdC et Etage;110;mercredi 20 janvier 2021;mardi 02 février 2021;10;5;111;EqA;490853,491088;Etage Bleu;;A, B, C, D;Task describtion here;Not Ready;No;No;No;No;No;No;No;;;;;;;mardi 29 décembre 2020
